name,difficulty,full cells,exec time,restarts,total generations
easy1,easy,35,47.1244,1,47
,,,,,
easy2,easy,37,36.1862,1,25
,,,,,
easy3,easy,38,40.6885,1,29
,,,,,
easy4,easy,40,41.8533,1,30
,,,,,
easy5,easy,41,29.6387,1,20
,,,,,
easy6,easy,35,54.0527,1,40
,,,,,
normal1,normal,29,198.5801,2,153
,,,,,
normal2,normal,30,477.2946,5,370
,,,,,
normal3,normal,32,573.007,6,448
,,,,,
normal4,normal,32,147.4415,2,112
,,,,,
normal5,normal,30,666.5298,7,514
,,,,,
medium1,medium,29,196.7747,3,131
,,,,,
medium2,medium,25,1212.9705,11,938
,,,,,
medium3,medium,25,1405.7452,14,1100
,,,,,
medium4,medium,28,134.7545,2,106
,,,,,
medium5,medium,25,1068.3213,11,857
,,,,,
hard1,hard,23,3442.7146,23,2030
,,,,,
hard2,hard,25,391.1148,3,271
,,,,,
hard3,hard,23,3423.0165,20,1738
,,,,,
hard4,hard,22,4187.7347,32,2852
,,,,,
hard5,hard,21,4772.7102,35,3141
,,,,,
hard6,hard,21,6845.8263,47,5429
